name,player_id,season,team.x,games,mpg,fg.,X3pt.,ft.,orb,drb,trb,ast,stl,blk,tov,pt,prod_pts
Robert Williams,26993,2019,BOS,29,387,0.727,0,0.647,1.38,3.03,4.41,0.93,0.76,1.21,0.72,5.17,15.07
Robert Williams,26993,2018,BOS,31,282,0.706,0,0.6,0.87,1.74,2.61,0.23,0.29,1.29,0.32,2.61,8.93
Semi Ojeleye,23632,2020,BOS,29,19.31,0.418,0.379,0.72,0.59,2.41,3,0.83,0.31,0,0.41,5.72,10.77
Semi Ojeleye,23632,2019,BOS,69,14.64,0.408,0.378,0.875,0.38,1.72,2.1,0.54,0.3,0.07,0.28,3.42,7.22
Semi Ojeleye,23632,2018,BOS,56,10.61,0.424,0.315,0.615,0.43,1.11,1.54,0.41,0.18,0.07,0.34,3.32,5.94
Semi Ojeleye,23632,2017,BOS,73,15.75,0.346,0.32,0.61,0.51,1.7,2.21,0.27,0.29,0.05,0.34,2.67,6.07
Daniel Theis,23828,2020,BOS,28,694,0.571,0.387,0.683,1.29,3.96,5.25,1.46,0.61,1.14,1.11,9.36,20.25
Daniel Theis,23828,2019,BOS,65,1566,0.566,0.333,0.763,2.15,4.4,6.55,1.71,0.57,1.29,0.83,9.25,22.56
Daniel Theis,23828,2018,BOS,66,907,0.549,0.388,0.737,1.32,2.09,3.41,1.03,0.32,0.64,0.5,5.67,12.71
Daniel Theis,23828,2017,BOS,63,935,0.541,0.31,0.753,1.43,2.92,4.35,0.89,0.48,0.75,0.89,5.25,13.36
Brad Wanamaker,27289,2020,GS,31,16.48,0.348,0.235,0.875,0.26,1.61,1.87,2.68,0.84,0.13,0.9,4.77,12.07
Brad Wanamaker,27289,2019,BOS,71,19.28,0.448,0.363,0.926,0.31,1.72,2.03,2.52,0.86,0.2,1.07,6.86,14.12
Brad Wanamaker,27289,2018,BOS,36,9.5,0.476,0.41,0.857,0.08,1.06,1.14,1.56,0.33,0.06,0.53,3.89,7.84
Brad Wanamaker,27289,2011,ATL,2,9,0.25,0,0.5,0.5,0.5,1,0.5,0.5,0.5,2.5,1.5,2.95
Jonathan Gibson,20788,2018,BOS,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jonathan Gibson,20788,2017,BOS,4,9.75,0.609,0.5,0,0,0.75,0.75,1,0,0,0.75,8.5,10.15
Jonathan Gibson,20788,2016,DAL,17,13.59,0.368,0.333,0.724,0.06,1.24,1.29,1.53,0.47,0,1.24,6.24,9.79
Allen Crabbe,13344,2019,MIN,37,17.68,0.356,0.303,0.714,0.3,1.78,2.08,0.89,0.41,0.11,0.46,4.65,9.05
Allen Crabbe,13344,2018,BKN,43,26.35,0.367,0.378,0.732,0.37,3.07,3.44,1.07,0.53,0.3,1.07,9.6,15.94
Allen Crabbe,13344,2017,BKN,75,29.28,0.407,0.378,0.852,0.37,3.95,4.32,1.56,0.63,0.47,1.04,13.2,21.87
Allen Crabbe,13344,2016,POR,79,28.53,0.468,0.444,0.847,0.24,2.59,2.84,1.19,0.68,0.25,0.78,10.7,16.97
Allen Crabbe,13344,2015,POR,81,25.99,0.46,0.394,0.867,0.33,2.33,2.67,1.22,0.78,0.2,0.79,10.3,16.49
Allen Crabbe,13344,2014,POR,51,13.39,0.412,0.353,0.75,0.14,1.29,1.43,0.76,0.37,0.29,0.29,3.29,7.2
Allen Crabbe,13344,2013,POR,14,7,0.364,0.429,0.75,0.07,0.57,0.64,0.43,0.14,0.07,0.21,2.36,3.99
DeMarre Carroll,6294,2019,HOU,24,12.04,0.379,0.242,0.69,0.5,1.79,2.29,1.04,0.33,0.21,0.71,3.63,8.31
DeMarre Carroll,6294,2018,BKN,67,25.42,0.395,0.342,0.76,1.01,4.19,5.21,1.27,0.46,0.15,1.09,11.1,19.39
DeMarre Carroll,6294,2017,BKN,73,29.85,0.413,0.37,0.764,1.44,5.12,6.56,2.01,0.82,0.41,1.41,13.47,25.42
DeMarre Carroll,6294,2016,TOR,72,26.13,0.401,0.341,0.761,0.88,2.96,3.83,1.03,1.13,0.39,0.75,8.86,17.28
DeMarre Carroll,6294,2015,TOR,26,30.23,0.389,0.39,0.6,1.19,3.46,4.65,1,1.69,0.23,1.12,11,20.82
DeMarre Carroll,6294,2014,ATL,70,31.26,0.487,0.395,0.702,1.41,3.9,5.31,1.69,1.34,0.24,1.07,12.61,23.62
DeMarre Carroll,6294,2013,ATL,72,32.06,0.469,0.357,0.77,1.47,4.03,5.5,1.85,1.5,0.29,1.08,11.08,22.95
DeMarre Carroll,6294,2012,UTA,66,16.82,0.46,0.286,0.765,1.32,1.53,2.85,0.92,0.88,0.36,0.52,5.95,12.73
DeMarre Carroll,6294,2011,DEN,25,14.32,0.411,0.294,0.947,1.04,1.08,2.12,0.72,0.48,0.04,0.48,4.44,8.62
DeMarre Carroll,6294,2010,MEM,6,6,0.375,0,1,0.33,1,1.33,0.33,0.17,0.17,0,1.33,4.1
DeMarre Carroll,6294,2009,MEM,14,18.43,0.343,0,0.645,1.29,2.21,3.5,0.79,0.5,0.07,0.79,4.71,10.45
Jared Dudley,2228,2020,LAL,7,3.43,1,1,0,0.14,0.71,0.86,0.29,0,0,0,0.43,1.89
Jared Dudley,2228,2019,LAL,45,8.07,0.4,0.429,1,0.13,1.02,1.16,0.62,0.33,0.07,0.18,1.51,4.45
