team,year,name,id
san-antonio-spurs,2018,Rudy Gay,2534
san-antonio-spurs,2018,Davis Bertans,8094
san-antonio-spurs,2018,Marco Belinelli,2314
san-antonio-spurs,2018,Bryn Forbes,20796
san-antonio-spurs,2018,Jakob Poeltl,20214
san-antonio-spurs,2018,Dante Cunningham,6321
san-antonio-spurs,2018,Lonnie Walker IV,26984
san-antonio-spurs,2018,Derrick White,23624
san-antonio-spurs,2018,Dejounte Murray,20234
san-antonio-spurs,2018,Quincy Pondexter,6908
san-antonio-spurs,2018,Chimezie Metu,27015
san-antonio-spurs,2018,Donatas Motiejunas,8071
toronto-raptors,2018,Kyle Lowry,2536
toronto-raptors,2018,Marc Gasol,6122
toronto-raptors,2018,Kawhi Leonard,8066
toronto-raptors,2018,Serge Ibaka,6313
toronto-raptors,2018,Danny Green,6277
toronto-raptors,2018,Norman Powell,17874
toronto-raptors,2018,Fred VanVleet,20778
toronto-raptors,2018,OG Anunoby,23618
toronto-raptors,2018,Pascal Siakam,20232
toronto-raptors,2018,Patrick McCaw,20244
toronto-raptors,2018,Jeremy Lin,7115
toronto-raptors,2018,Chris Boucher,23671
toronto-raptors,2018,Malcolm Miller,18099
toronto-raptors,2018,Jodie Meeks,6300
toronto-raptors,2018,Eric Moreland,15622
utah-jazz,2018,Rudy Gobert,13340
utah-jazz,2018,Derrick Favors,6884
utah-jazz,2018,Ricky Rubio,6305
utah-jazz,2018,Joe Ingles,15852
utah-jazz,2018,Dante Exum,15357
utah-jazz,2018,Kyle Korver,2752
utah-jazz,2018,Jae Crowder,10859
utah-jazz,2018,Thabo Sefolosha,2250
utah-jazz,2018,Ekpe Udoh,8222
utah-jazz,2018,Donovan Mitchell,23608
utah-jazz,2018,Raul Neto,13360
utah-jazz,2018,Grayson Allen,26987
utah-jazz,2018,Tony Bradley,23623
utah-jazz,2018,Georges Niang,20256
utah-jazz,2018,Royce O'Neale,24240
washington-wizards,2018,Bradley Beal,10811
washington-wizards,2018,Jabari Parker,15354
washington-wizards,2018,John Wall,6882
washington-wizards,2018,Ian Mahinmi,2708
washington-wizards,2018,Trevor Ariza,2513
washington-wizards,2018,Dwight Howard,2640
washington-wizards,2018,Tomas Satoransky,10857
washington-wizards,2018,Sam Dekker,17846
washington-wizards,2018,Troy Brown Jr.,26981
washington-wizards,2018,Bobby Portis,17850
washington-wizards,2018,Jeff Green,2720
washington-wizards,2018,Thomas Bryant,23643
washington-wizards,2018,Chasson Randle,20940
washington-wizards,2018,Jordan McRae,15410
washington-wizards,2018,Tarik Phillip,28990
atlanta-hawks,2019,Jeff Teague,6272
atlanta-hawks,2019,Clint Capela,15377
atlanta-hawks,2019,Dewayne Dedmon,13536
atlanta-hawks,2019,De'Andre Hunter,31561
atlanta-hawks,2019,Trae Young,26971
atlanta-hawks,2019,Cam Reddish,31567
atlanta-hawks,2019,John Collins,23614
atlanta-hawks,2019,Kevin Huerter,26985
atlanta-hawks,2019,DeAndre' Bembry,20226
atlanta-hawks,2019,Skal Labissiere,20233
atlanta-hawks,2019,Damian Jones,20235
atlanta-hawks,2019,Treveon Graham,18124
atlanta-hawks,2019,Vince Carter,2590
atlanta-hawks,2019,Bruno Fernando,31593
atlanta-hawks,2019,Brandon Goodwin,28020
boston-celtics,2019,Kemba Walker,8059
boston-celtics,2019,Gordon Hayward,6891
boston-celtics,2019,Marcus Smart,15358
boston-celtics,2019,Jayson Tatum,23598
boston-celtics,2019,Jaylen Brown,20208
boston-celtics,2019,Daniel Theis,23828
boston-celtics,2019,Enes Kanter,8053
boston-celtics,2019,Romeo Langford,31571
boston-celtics,2019,Vincent Poirier,31917
boston-celtics,2019,Grant Williams,31579
boston-celtics,2019,Robert Williams,26993
boston-celtics,2019,Semi Ojeleye,23632
boston-celtics,2019,Brad Wanamaker,27289
boston-celtics,2019,Carsen Edwards,31592
boston-celtics,2019,Javonte Green,32409
brooklyn-nets,2019,Kevin Durant,2717
brooklyn-nets,2019,Kyrie Irving,8051
brooklyn-nets,2019,Joe Harris,15385
brooklyn-nets,2019,Garrett Temple,6492
brooklyn-nets,2019,Caris LeVert,20225
brooklyn-nets,2019,Jarrett Allen,23617
brooklyn-nets,2019,Landry Shamet,26992
brooklyn-nets,2019,Dzanan Musa,26995
brooklyn-nets,2019,Rodions Kurucs,27006
brooklyn-nets,2019,Nicolas Claxton,31590
brooklyn-nets,2019,Timothe Luwawu-Cabarrot,20229
brooklyn-nets,2019,Tyler Johnson,15645
brooklyn-nets,2019,Donta Hall,32450
brooklyn-nets,2019,Jamal Crawford,2618
brooklyn-nets,2019,Lance Thomas,8713
charlotte-hornets,2019,Nicolas Batum,6149
charlotte-hornets,2019,Terry Rozier,17844
charlotte-hornets,2019,Bismack Biyombo,8057
charlotte-hornets,2019,Cody Zeller,13317
charlotte-hornets,2019,Malik Monk,23606
charlotte-hornets,2019,PJ Washington,31569
charlotte-hornets,2019,Miles Bridges,26978
charlotte-hornets,2019,Willy Hernangomez,17863
charlotte-hornets,2019,Dwayne Bacon,23640
charlotte-hornets,2019,Devonte' Graham,27000
charlotte-hornets,2019,Cody Martin,31595
charlotte-hornets,2019,Caleb Martin,32682
charlotte-hornets,2019,Jalen McDaniels,31611
charlotte-hornets,2019,Joe Chealey,27776
charlotte-hornets,2019,Kobi Simmons,23674
chicago-bulls,2019,Otto Porter Jr.,13316
chicago-bulls,2019,Zach LaVine,15365
chicago-bulls,2019,Thaddeus Young,2658
chicago-bulls,2019,Tomas Satoransky,10857
chicago-bulls,2019,Cristiano Felicio,17990
chicago-bulls,2019,Kris Dunn,20210
chicago-bulls,2019,Coby White,31564
chicago-bulls,2019,Lauri Markkanen,23602
chicago-bulls,2019,Wendell Carter Jr.,26973
chicago-bulls,2019,Denzel Valentine,20219
chicago-bulls,2019,Ryan Arcidiacono,20275
